"STATION","STATION_N","ROUTE","MP","NEG_AADT","POS_AADT","TOT_AADT","NEG_0000","NEG_0100","NEG_0200","NEG_0300","NEG_0400","NEG_0500","NEG_0600","NEG_0700","NEG_0800","NEG_0900","NEG_1000","NEG_1100","NEG_1200","NEG_1300","NEG_1400","NEG_1500","NEG_1600","NEG_1700","NEG_1800","NEG_1900","NEG_2000","NEG_2100","NEG_2200","NEG_2300","POS_0000","POS_0100","POS_0200","POS_0300","POS_0400","POS_0500","POS_0600","POS_0700","POS_0800","POS_0900","POS_1000","POS_1100","POS_1200","POS_1300","POS_1400","POS_1500","POS_1600","POS_1700","POS_1800","POS_1900","POS_2000","POS_2100","POS_2200","POS_2300","TOT_0000","TOT_0100","TOT_0200","TOT_0300","TOT_0400","TOT_0500","TOT_0600","TOT_0700","TOT_0800","TOT_0900","TOT_1000","TOT_1100","TOT_1200","TOT_1300","TOT_1400","TOT_1500","TOT_1600","TOT_1700","TOT_1800","TOT_1900","TOT_2000","TOT_2100","TOT_2200","TOT_2300","SUTRUCKS","CUTRUCKS"
"-0301",301,"0080",129.0,28099,28328,56427,239,159,124,106,149,334,785,1396,1677,1489,1500,1622,1716,1753,1875,2222,2391,2574,1930,1253,978,814,609,404,209,138,106,110,181,445,1207,1893,2152,1839,1663,1672,1672,1757,1856,1966,2115,2110,1520,1071,933,777,600,336,448,297,230,216,330,779,1992,3289,3829,3328,3163,3294,3388,3510,3731,4188,4506,4684,3450,2324,1911,1591,1209,740,0.167,0.1
"-0302",302,"0015",290.6,108372,103761,212133,1159,683,457,372,556,1646,3510,5073,5677,5404,5248,5725,6188,6574,7070,8135,8871,8419,7253,5579,5040,4395,3374,1964,759,464,345,439,847,2523,5537,5977,6226,6257,5892,6263,6413,6301,6588,7194,7272,6967,6433,4834,3805,3022,2132,1271,1918,1147,802,811,1403,4169,9047,11050,11903,11661,11140,11988,12601,12875,13658,15329,16143,15386,13686,10413,8845,7417,5506,3235,0.101,0.058
"-0303",303,"0091",45.24,4124,4211,8335,17,10,12,22,62,148,258,278,239,223,245,258,267,268,284,263,289,280,226,156,126,96,65,32,40,18,14,13,13,51,89,147,133,162,186,220,250,269,303,382,415,425,343,244,180,148,97,69,57,28,26,35,75,199,347,425,372,385,431,478,517,537,587,645,704,705,569,400,306,244,162,101,0.099,0.044
"-0304",304,"0089",499.81,1230,1246,2476,3,1,0,0,1,6,17,34,53,70,90,103,107,100,101,103,105,97,83,63,48,28,12,5,4,1,0,0,0,2,12,31,51,71,91,97,104,106,101,103,102,93,80,68,57,41,23,8,7,2,0,0,1,8,29,65,104,141,181,200,211,206,202,206,207,190,163,131,105,69,35,13,0.142,0.02
"-0305",305,"0024",8.064,1729,1763,3492,17,9,8,8,8,22,49,87,95,97,101,112,119,122,123,137,147,135,103,73,59,48,31,19,9,5,7,11,33,48,51,82,88,96,106,118,123,128,133,137,140,138,102,70,58,38,25,17,26,14,15,19,41,70,100,169,183,193,207,230,242,250,256,274,287,273,205,143,117,86,56,36,0.028,0.062
"-0306",306,"0015",267.841,83126,73240,156366,908,552,397,357,601,1408,2592,3800,4399,4163,4159,4397,4675,4874,5370,5997,6782,7070,5761,4316,3642,3080,2332,1494,656,413,297,313,603,1852,3457,4771,4929,3988,3608,3846,4049,4180,4551,5132,5452,5652,4400,3312,2766,2308,1652,1053,1564,965,694,670,1204,3260,6049,8571,9328,8151,7767,8243,8724,9054,9921,11129,12234,12722,10161,7628,6408,5388,3984,2547,0.092,0.072
"-0307",307,"0084",92.593,7684,7638,15322,52,41,42,56,110,220,337,425,425,428,455,476,491,500,527,570,595,559,436,317,245,179,120,78,61,46,41,51,85,174,292,355,385,399,426,457,477,506,556,595,625,589,457,339,278,212,143,89,113,87,83,107,195,394,629,780,810,827,881,933,968,1006,1083,1165,1220,1148,893,656,523,391,263,167,0.015,0.023
"-0308",308,"0040",21.579,2809,2804,5613,25,18,15,13,14,27,52,91,124,160,186,204,214,220,228,234,221,196,162,132,105,78,54,36,22,19,21,24,34,61,99,134,147,168,174,180,182,192,203,205,206,192,163,130,96,71,49,32,47,37,36,37,48,88,151,225,271,328,360,384,396,412,431,439,427,388,325,262,201,149,103,68,0.059,0.154
"-0310",310,"0015",389.341,6485,6476,12961,50,33,35,50,77,105,137,192,249,329,400,443,463,480,514,527,527,470,412,338,261,188,126,79,69,47,37,35,64,130,164,219,276,354,428,457,449,460,476,488,478,445,379,326,255,194,147,99,119,80,72,85,141,235,301,411,525,683,828,900,912,940,990,1015,1005,915,791,664,516,382,273,178,0.07,0.174
"-0312",312,"0006",182.39,6043,5981,12024,62,40,32,33,44,92,138,174,215,270,332,387,418,439,468,483,490,463,414,344,267,202,142,94,54,37,30,30,44,81,141,219,290,351,404,412,409,418,430,440,450,433,388,319,235,170,118,78,116,77,62,63,88,173,279,393,505,621,736,799,827,857,898,923,940,896,802,663,502,372,260,172,0.101,0.151
"-0313",313,"0015",187.083,8859,8851,17710,86,68,64,55,67,110,186,289,376,472,602,707,706,693,706,684,638,559,471,431,359,247,168,115,116,86,67,62,69,81,101,160,240,325,425,542,631,700,744,761,746,696,609,515,426,334,242,173,202,154,131,117,136,191,287,449,616,797,1027,1249,1337,1393,1450,1445,1384,1255,1080,946,785,581,410,288,0.078,0.217
